sale_id,customer_id,product_id,date,qty
1,7,901,2026-02-12,1
2,770,999,2026-04-03,5
3,863,206,2026-02-22,5
4,328,187,2026-05-28,5
5,549,854,2026-01-11,5
6,568,883,2026-01-04,1
7,461,43,2026-03-09,1
8,55,36,2026-07-29,1
9,108,408,2026-07-13,2
10,81,223,2025-12-20,2
11,664,112,2025-11-03,2
12,119,992,2025-12-17,5
13,549,440,2025-09-19,3
14,561,719,2026-05-13,4
15,26,188,2025-09-23,1
16,41,946,2025-10-18,5
17,341,113,2026-06-03,1
18,444,505,2025-10-16,1
19,80,633,2026-05-06,1
20,342,931,2025-09-13,3
21,932,665,2026-03-25,3
22,938,840,2025-11-03,4
23,2,920,2025-10-11,4
24,111,231,2026-01-25,5
25,481,500,2025-12-16,3
26,325,699,2025-11-09,3
27,302,95,2026-07-02,5
28,370,568,2026-03-01,5
29,488,746,2026-08-13,1
30,346,755,2026-05-11,3
31,262,348,2026-05-31,3
32,287,660,2026-05-16,1
33,912,485,2025-10-04,4
34,149,399,2026-04-25,2
35,982,40,2026-08-19,1
36,701,763,2026-08-12,4
37,576,174,2026-01-29,1
38,852,643,2025-11-26,4
39,357,304,2025-12-01,2
40,563,146,2026-01-13,4
41,676,472,2026-07-14,4
42,155,212,2025-11-07,5
43,55,113,2026-06-24,4
44,290,714,2026-05-17,5
45,574,487,2026-08-18,4
46,179,424,2026-08-11,4
47,878,509,2026-08-26,2
48,60,648,2026-05-06,3
49,430,614,2026-06-30,2
50,208,84,2026-01-04,1
51,198,761,2026-08-23,2
52,785,994,2025-10-09,1
53,226,284,2026-03-23,3
54,428,550,2026-02-20,2
55,515,775,2026-02-03,4
56,834,820,2026-04-13,2
57,934,913,2026-09-07,1
58,996,957,2025-10-04,5
59,970,839,2026-05-16,3
60,845,428,2026-07-01,2
61,828,344,2025-11-01,3
62,353,629,2026-04-14,2
63,948,849,2026-02-04,5
64,273,321,2026-06-24,4
65,273,204,2026-07-20,5
66,785,774,2025-11-20,1
67,130,168,2026-04-17,1
68,412,483,2025-10-20,5
69,450,349,2025-12-06,1
70,146,584,2025-09-12,1
71,788,279,2026-05-14,2
72,967,528,2026-08-25,4
73,251,603,2026-01-04,4
74,658,921,2025-10-31,4
75,818,491,2026-09-07,2
76,597,322,2025-09-20,1
77,606,389,2026-05-21,5
78,549,672,2026-08-16,5
79,643,250,2026-02-06,2
80,655,557,2026-08-05,5
81,949,708,2026-01-05,2
82,801,977,2025-11-04,3
83,302,513,2025-11-24,5
84,179,995,2026-02-23,1
85,234,521,2026-08-01,2
86,588,518,2026-07-23,4
87,892,907,2026-07-28,5
88,560,64,2025-10-05,2
89,213,980,2026-01-01,5
90,278,131,2026-09-02,3
91,699,861,2026-05-19,5
92,590,548,2026-03-04,5
93,685,489,2026-07-23,4
94,555,846,2026-07-04,4
95,225,895,2026-07-06,3
96,106,738,2026-03-11,5
97,189,727,2025-11-03,1
98,747,637,2025-11-20,5
99,610,368,2026-03-11,4
100,420,962,2026-05-07,3
101,959,941,2025-11-04,2
102,313,356,2026-05-11,5
103,372,933,2025-12-04,5
104,237,497,2026-02-11,1
105,446,328,2026-06-21,2
106,701,474,2026-05-04,5
107,795,222,2026-06-15,3
108,942,6,2026-01-29,3
109,619,360,2025-12-20,2
110,814,42,2026-07-26,3
